INPUT:text	OUTPUT:category	CONFIDENCE:category	
На суде он свою вину отрицал , факты у обвинения не сходились , о заказчиках и посредниках и речи в зале заседаний не было .	[5]	100.00%	
Чтобы Украину не взяли в НАТО и в Евросоюз ?	[1]	100.00%	
Все это было свежо и ярко , много ярче , чем в обычной жизни .	[3]	100.00%	
Японский центр в Нижнем Новгороде открылся в прошлом месяце .	[1]	100.00%	
Я довольно активно участвую в борьбе за военную реформу и переход к контрактной армии .	[2]	100.00%	
Бухгалтеры звонят в редакцию и просят выяснить позицию фискалов .	[2]	100.00%	
Он молодец , он этот ресурс накопил и использует .	[2]	100.00%	
Причем в этом случае торговцы заложат в стоимость и свои убытки за прошлый период .	[2]	100.00%	
Это была вторая поездка дяди и племянника в Дуплянку .	[1]	100.00%	
Тему астматиков громко обсуждали , в основном в кулуарах , еще на стыке веков .	[4]	100.00%	
Решение участвовать в выборах в Мосгордуму , а потом отказ от участия в них .	[2]	100.00%	
Впрочем , сегодня уже как в МИДе , так и в самом Кремле стараются не употреблять этот эзопов язык .	[4]	100.00%	
Он бы устранил , конечно , постепенно всех - и Маленкова , и Хрущёва .	[3]	100.00%	
Он видел и не такие лица - по выражению .	[1]	100.00%	
И сейчас архиважно - не дать себя вовлечь в демагогическую суету и пустопорожние словопрения .	[7]	100.00%	
Все эти обстоятельства , как и многие другие , наложили отпечаток на начавшиеся в 1991 году реформы , призванные вторично возродить в России капитализм .	[5]	100.00%	
"В результате в "" Возвращении короля "" кадров с компьютерными эффектами оказалось 1490 - больше , чем в первом и втором фильмах вместе взятых ."	[5]	100.00%	
Упор в стратегии итальянских коммунистов делался на демократическое общество западных стран через активную работу в массах и общественных организациях и расширение парламентской группы в законодательном органе власти , т. е. проводилась широкая политика союзов .	[7]	100.00%	
К середине 1942 года англичане , несмотря на ряд неудач , полностью нарушают морское сообщение между Италией и итальянскими войсками в Ливии и Египте .	[4]	100.00%	
Ничего нового не открыл и именем своим не назвал .	[1]	100.00%	
Предчувствие им подсказывало , что и это не предел .	[1]	100.00%	
Однако командование немецких ВМС и сухопутных сил , ссылаясь на мощь британского флота и отсутствие у вермахта опыта десантных операций , требует от ВВС вначале обеспечить господство в воздухе .	[6]	100.00%	
По дорогам тянулись обозы , грузно сворачивая с дороги к переездам , и с бешено несущегося поезда казалось , что возы стоят не двигаясь , а лошади подымают и опускают ноги на одном месте .	[7]	100.00%	
Больше мы золота в лыжных дисциплинах не взяли и боролись лишь за полудрагоценные металлы .	[3]	100.00%	
"Если суд действительно независим , судебная система и сама прекрасно справляется с защитой прав и интересов , в том числе бизнеса , и необходимости в фигуре "" уполномоченного по защите прав предпринимателей "" нет ."	[7]	100.00%	
Совершенно очищенные листы погружают на час времени в расплавленное сало ; потом на 11/2 часа _ в расплавленное ( не совершенно чистое ) олово .	[7]	100.00%	
Экономист Мовчан всерьез считает , что спасти еврозону в нынешнем виде не получится , и лет через пять там останутся сильные экономики - такие как Германия и страны Бенилюкса .	[5]	100.00%	
Тактика - это соглашение о перемирии , несомненный позитив которого в приостановке маховика убийства и уничтожения элементарных условий выживания людей в зоне боевых действий .	[6]	100.00%	
Уже сейчас поступает обильная информация о природных ресурсах и окружающей среде с бортовых многоспектральных устройств и фотокамер , устанавливаемых на пилотируемых и автоматических аппаратах .	[6]	100.00%	
Если победят те силы , которые говорят , что мы в кольце врагов , что Запад постоянно строит нам козни , и даже ближайшие соседи превращаются в недругов , то выбран будет сценарий мобилизации .	[7]	100.00%	
Разрыв этот в последнее время не только не сократился , но и продолжает углубляться .	[3]	100.00%	
Сейчас единства в этом вопросе в России не существует .	[1]	100.00%	
"Не вдаваясь в детали критики советником политики ЦБ ( это отдельная тема ) , приведу мнение специалиста по макроэкономике Константина Сонина : "" Познания Глазьева в области экономической науки и реальной экономики очень малы ."	[7]	100.00%	
Особого впечатления он на меня не произвел , но я захотела и другого кино .	[3]	100.00%	
Об этом и думал , засыпая , маленький Павлов , и сны были у него деловые , практические и потому не доставляли настоящего отдыха .	[6]	100.00%	
Они вернулись к антагонизму советского периода , когда стали сворачиваться достижения перестройки внутри страны и были открыто заявлены претензии на сферы влияния на территории распавшейся империи и на возрождение роли сверхдержавы в мировых делах .	[6]	100.00%	
Увидишь ты не одну когорту в Ершалаиме , нет !	[5]	100.00%	
Больные и раненые из-за отсутствия коек лежали на полу .	[2]	100.00%	
Хотя в паспорте и записано , что выработка энергии начинается при ветре 3 метра в секунду , реально это происходит только с 5 м/с .	[5]	100.00%	
Президент Молдавии Владимир Воронин , комментируя вопрос о предоставлении Приднестровью самой широкой автономии в составе Молдавии , заявил , что проект такого статуса уже разработан и будет обнародован , когда в этом будет необходимость .	[7]	100.00%	
Заведения эти в Великобритании связаны с ней самым непосредственным образом , в каждой из них непременно висят фотографии королевы и ее посещений этого учреждения .	[4]	100.00%	
Управляя потоком нейтронов , можно балансировать между взрывом и остановкой реактора - с этой целью в реактор добавляют замедлитель , отражатель и контрольные стержни .	[7]	100.00%	
Держа в руках нож , острие которого было направлено в нежную тушу Крэка , он застыл метрах в семи .	[5]	100.00%	
И , кроме всего прочего , тут подогреваются финансовые аппетиты всех , кого только можно , - и военного руководства НАТО и России , и оборонно - промышленного комплекса .	[6]	100.00%	
Религия требует веры в чудеса и другие сверхъестественные явления .	[3]	100.00%	
Тут он не выдержал , развернулся и побежал вверх .	[2]	100.00%	
Мир прямо сейчас делится на тех , кто успевает войти в поток ускоренных изменений , и на вечных лузеров .	[1]	100.00%	
Другие известные в настоящее время места произрастания осмунды , расположенные ближе всего к Припятскому Полесью , находятся в Польше - в 200 - 500 км на юго-запад от него .	[5]	100.00%	
Меня пугает , что мы входим в системный конфликт между гражданским обществом и режимом .	[4]	100.00%	
Даже если бы они попали в Институт хирургии им. А. В. Вишневского , МНИИ скорой помощи и в другие мощные лечебные центры , и то эти учреждения задохнулись бы .	[5]	100.00%	
По части организации и управления они явно не сильны .	[2]	100.00%	
"Нужно , чтобы в сериалах появлялись паллиативные пациенты , инвалиды , и если герой фильма попал в больницу , там врач спрашивал бы его "" насколько у вас болит по шкале боли ? "" ."	[6]	100.00%	
В числе аспирантов были и сыновья Солженицына - Ермолай и Степан , да и сам Исаевич приезжал порой посмотреть на это чудо в штате Вермонт и даже там выступал .	[6]	100.00%	
Самые мистические детали - ротор и автомат перекоса , как раз и обеспечивающие вертолету способность двигаться в любом направлении .	[5]	100.00%	
Поэтому инаугурация в России - это холодная качественная телетрансляция , огромные машины с мигалками , одиноко идущий человек и величие Кремля , не имеющее к этому человеку никакого отношения .	[6]	100.00%	
Здесь есть и свои Шиловы , и Церетели , и даже свои Ван Гоги .	[3]	100.00%	
Вика накрутила на палец кончик косы и уставилась в тетрадь - все шло неправильно .	[3]	100.00%	
Там была и какая-то личная драма , о чем можно догадываться , но в конце 1991 года Семен попросил Антония постричь его в монахи .	[5]	100.00%	
"Хотя , скажем , в Индии любая девочка и в пяти - _ и в двенадцатилетнем возрасте на вопрос о своем будущем дает , как правило , единственный ответ - "" буду женой "" ."	[5]	100.00%	
Вопросами психологии и поведения людей и животных занимались ещё Аристотель , Хризипп , Сократ и Платон , однако серьёзное научное изучение поведения стало возможно лишь с созданием эволюционного учения .	[5]	100.00%	
Между тем , если СМИ иногда и производят впечатление столь могущественного средства , то это скорее потому , что они хорошо улавливают те течения , которые имеются в общественном мнении , и подыгрывают им .	[7]	100.00%	
То и дело перед его мысленным взором вставали шланги , пружины и распылители воды .	[3]	100.00%	
Допустимо , наконец , что он использовал выражение неоднократно , а все отправленные им в Лондон ученики сочли своим долгом приехать затем в Женеву и подробно об этом рассказать .	[6]	100.00%	
В Европе наркотики и шприцы выдаются только наркоманам , и весь процесс жестко контролируется .	[3]	100.00%	
Законодательство запрещает выборы и иные голосования в условиях чрезвычайного положения , ибо в этих условиях невозможно обеспечить свободу волеизъявления .	[6]	100.00%	
Достаточно , мол , добросовестно следовать ее букве и духу , чтобы обеспечить свободную политическую конкуренцию и сменяемость власти в соответствии с народным волеизъявлением .	[6]	100.00%	
Однако именно он в 1940 году отправился из Нью-Йорка в Марсель спасать европейскую интеллигенцию .	[3]	100.00%	
Шайки возникали и исчезали , потому что МГБ и МВД в те годы не церемонились и доказательства вины в конце 40-х и в начале 50-х им были не нужны .	[7]	100.00%	
У Путина против Навального была ложная и ущербная аргументация , что тот уголовник и за ним никто не стоит .	[4]	100.00%	
Как и в Москве за год до этого , женщины и дети постарше отправлялись копать окопы и противотанковые рвы .	[3]	100.00%	
Возвращаемся в блок обитаемых отсеков , пересекаем салон и вновь попадаем в коридор , куда входили из бокового люка .	[5]	100.00%	
Эта история так и осталась не более чем слухом .	[1]	100.00%	
Преодолев проблемы неэффективности брендинга и негибкости сетевых структур путем создания трендов и трансструктур , вовлекающих креативных потребителей , ГПК создал и гламурные финансы , решившие проблему неликвидности виртуальных денег .	[7]	100.00%	
Вместо него все тем же публичным уроком воскрешен в каждом журналисте личный внутренний цензор , а этот парень и умней , и тактичней Главлита .	[5]	100.00%	
Каждый человек рождается и умирает в своем энергетическом поле .	[1]	100.00%	
Граф угодил в лагерь за участие в одном из заговоров против Гитлера , коммунист уже сидел там с конца тридцатых , и они подружились .	[3]	100.00%	
Дополнительно в сравнении с первоначальным прогнозом не нефтяные поступления в бюджет в 2010 году составят примерно 700 миллиардов рублей .	[3]	100.00%	
Конечно , к императорам это не относилось , они получали шапку по праву рождения и брали ее в свой час легко ( в идеале .	[4]	100.00%	
Во взводе были и молодые солдаты , и опытные .	[2]	100.00%	
Однако при жизни Гесса химия так и не стала обязательным учебным предметом в гимназиях .	[3]	100.00%	
В нашей стране многие уверены в том , что Соединенные Штаты и Запад в целом - вековечные ненавистники России .	[3]	100.00%	
Человек был не старый , не болел ни болезнями легких , ни диабетом , ни , тьфу-тьфу , постучим , онкологией , и беспокоился не за себя , а только за свою восьмидесятилетнюю мать .	[7]	100.00%	
"Якобы это он написал Алексею Каплеру в "" Кинопанораму "" письмо с замечанием , мол , не сиди в кресле - осанки не видно ."	[4]	100.00%	
"Они напомнили , что в положении о распределении машин в текущем году говорится о живой очереди без подставных лиц и "" мертвых душ "" ."	[6]	100.00%	
Сегодня в России роль и значение СМИ часто преувеличивают .	[1]	100.00%	
Ничего особенного : ходили же в расшитых камзолах и платьях до полу с корсетами и декольте , а теперь носят брюки , шорты , майки , свитера и пиджаки .	[7]	100.00%	
И одна из важнейших задач для нашей страны - поддерживать обороноспособность на необходимом уровне , но _ не в ущерб социальной сфере , инвестициям в экономическое развитие , в науку , культуру , образование …	[5]	100.00%	
Здесь есть стандартные методы исследования , то есть это фактически та же самая методика накачки и зондирования , о которой я говорил , только она уже в 80-е годы эволюционировала вплоть до единиц фемтосекунд .	[7]	100.00%	
Да и вертикаль власти скрутилась в диковинную геометрическую фигуру , в закоулках которой концов днем с огнем не сыскать .	[6]	100.00%	
Маленький принц никак не мог понять , для чего на крохотной , затерявшейся в небе планетке , где нет ни домов , ни жителей , нужны фонарь и фонарщик .	[2]	100.00%	
"В 4 часа 45 минут прибывший в Данциг с дружеским визитом и с воодушевлением встреченный местным населением немецкий учебный корабль - устаревший броненосец "" Шлезвиг-Гольштейн "" - открыл огонь по польским укреплениям на Вестерплатте ."	[7]	100.00%	
Когда я вернулся в расположение своего госпиталя , то обнаружил , что мое место занято другим добровольцем , которого я раньше и не знал .	[4]	100.00%	
Немецкие ВВС и ВМС совершают систематические нападения на английские корабли и конвои в Ла-Манше .	[2]	100.00%	
У нас не наберется и 1 тыс . человек .	[1]	100.00%	
На том , что Путин , Дума , а теперь и Медведев избраны в соответствии с легитимной процедурой и победили в ходе честной конкуренции ?	[6]	100.00%	
Ужасно не хотели им звонить - их и так было много , и квартира вызывала подозрения у соседей : что у них там происходит ?	[5]	100.00%	
Стук в дверь - там-там-та-та-та , и на пороге - она ! - без маски , перчаток и шапочки .	[3]	99.99%	
"И в этих условиях важнейшей сферой , где "" имидж "" России может оставаться позитивным , является социокультурное взаимодействие , основанное на расширении и укреплении культурных и научных связей ."	[5]	100.00%	
В настоящий момент живу в общежитии ЛШЭ в десяти минутах ходьбы от кампуса , что не может не радовать .	[3]	100.00%	
Повысить эффективность функционирования единой системы образования , начиная с детских садов и без ограничения верхнего предела , обеспечивающего оптимальное решение текущих и перспективных научных , политических , экономических , военных и социальных задач государства .	[7]	100.00%	
Они умеют работать и с одаренными детьми , и с детьми с особенностями развития .	[4]	100.00%	
"Все это сошлось , и "" пищевка "" стала первым локомотивом петербургской экономики в новейшую эпоху , первым в городе примером удачной крупномасштабной модернизации ."	[5]	100.00%	
По словам местных властей , японцы обратились к врачу отеля с жалобами на рвоту и диарею , после чего и были отправлены в больницу .	[4]	100.00%	
Большую роль в подготовке и проведении форума сыграли многочисленные международные и национальные научные организации .	[3]	100.00%	
Счастье это было в друзьях и учителях , в тех газетах и журналах , где я работал и работаю .	[6]	100.00%	
Наше место как раз в группе МИФИ и МИСиС .	[1]	100.00%	
Один толстячок Леонтий вел себя не в меру истерично : он подскакивал и все время кричал , что он теперь еще больше жить хочет …	[6]	100.00%	
"Используя "" бутерброды "" из различных оксидов , в отдельности являющихся диэлектриками , ученые смогли получить структуры , которые вели себя как металлы и даже сверхпроводники , - в зависимости от текущей комбинации слоев ."	[6]	100.00%	
Уже примерно на протяжении 50 лет вложения в человека в развитых странах превышают вложения в оборудование , в недвижимость .	[3]	100.00%	
Тогда и разводов было гораздо меньше , и женщин на производстве - тоже меньше .	[4]	100.00%	
Один освобождал страну , другой давил танками Будапешт и Новочеркасск и строил Берлинскую стену .	[4]	100.00%	
Энергичным итальянским движением женщина ткнула в плакат пальцем , и я увидел на нем мелкое примечание , упоминавшее в непонятном мне контексте 800 лир .	[6]	100.00%	
Поэтому и Верховный Совет в целом , и Съезд народных депутатов СССР должны иметь эффективные механизмы экспертизы , чтобы избежать появления нового ведомственного диктата .	[6]	100.00%	
В 2002 - 2003 годах Юрий Щекочихин получал анонимные звонки с угрозами - как в свой адрес , так и в адрес своего сына .	[3]	100.00%	
Крупный бизнес сейчас опутан полностью и административными , и политическими , и прочими барьерами .	[4]	100.00%	
Краны на кухне , в ванной уже даже не сипели , превратились в воспоминание .	[4]	100.00%	
Грузия готова сотрудничать в военной сфере с Россией и любой другой страной так же , как и с США .	[3]	100.00%	
Сегодня ведь очевидно , что комсомол оказался не готов к тому , чтобы ориентироваться и действовать ни в сложных условиях обострения межнациональных отношений , ни в острых социальных ситуациях .	[6]	100.00%	
Впрочем , в Минобороны России информацию об отправке в Афганистан российских десантников не подтвердили .	[2]	100.00%	
"Основой этого проекта являются договоры о сотрудничестве университета , подписанные с указанными газетами , и положение по осуществлению непрерывной практики по специальности "" журналистика "" , разработанное университетом и согласованное с редакциями периодических изданий ."	[7]	100.00%	
Виноват не дефицит природных ресурсов и не экологические катастрофы .	[3]	100.00%	
Более продуктивной ( и общепринятой ) точкой зрения является взгляд на эту книгу , как на источник записей купца о местах для покупки товаров , маршрутах их продвижения и обстоятельствах жизни в этих странах .	[6]	100.00%	
Практически это единственная живая школа в мире : она насчитывает больше тысячи лет и не прерывалась все это время ( за исключением периода с 1945 по 1949 годы ) .	[4]	100.00%	
Он поднял голову и окинул с возвышения осенние пустыри и главы монастыря отсутствующим взором .	[3]	100.00%	
Я , например , в Америке не слышал публичных и длящихся дискуссий между министром и премьер-министром о ставке налога .	[5]	100.00%	
Есть и еще один момент в пользу таких сооружений .	[1]	100.00%	
Наконец , уже упоминались в предыдущих текстах и другие внешние факторы , вроде цен на углеводороды и т. п .	[5]	100.00%	
И насколько все легко и просто кидаются в разговоры о родах , в воспоминания об этом , настолько же все отодвигаются от темы умирания .	[5]	100.00%	
Те три спектакля , о которых я веду речь , объединяет тема - не просто о жизни на чужбине , а касающаяся в более широком смысле свободы и неволи .	[5]	100.00%	
Много работало комиссий - и внешних , и университетских .	[2]	100.00%	
Почему сельскохозяйственная земля выросла в цене в 20 раз ?	[1]	100.00%	
Ты не можешь даже и думать о чем-нибудь и мечтаешь только о том , чтобы пришла твоя собака , единственное , по-видимому , существо , к которому ты привязан .	[6]	100.00%	
Они раскрывались поутру в траве и под вечер увядали .	[2]	100.00%	
"Состязания в абстрактных играх , прежде всего в шахматах и шашках , возможно проводить "" не видя партнера "" , когда соперники находятся на значительном расстоянии друг от друга ."	[6]	100.00%	
Причем уровень насилия в стране нарастал в геометрической прогрессии .	[2]	100.00%	
Дальнейшее проникновение в глубь земли отложили еще на год .	[1]	100.00%	
Однако многие говорили и о пробелах , которые есть в законопроекте о местном самоуправлении .	[4]	100.00%	
Он закончил экономический факультет Политехнического института в Петербурге в 1906 году и одновременно экстерном _ юридический факультет Петербургского университета .	[4]	100.00%	
Юноша не выдержал издевательств - и выпрыгнул из окна .	[3]	99.99%	
"Вот что он написал об этом в своей книге "" Дорога в Австралию "" ."	[1]	100.00%	
"Бедные девочки из моей университетской группы ходили со стипендии в "" Норд "" ( популярное кондитерское кафе в Ленинграде ) и больше всего ценили что угодно со взбитыми сливками ."	[6]	100.00%	
Первые мормонские поселенцы называли себя пионерами , а их потомки в 1901-м и в 1933-м годах соответственно объединились в две организации - Дочери пионеров Юты и Сыновья пионеров Юты .	[5]	100.00%	
Они были подвижны и катились всегда в одну сторону .	[1]	100.00%	
Остальные возможные претенденты и вовсе аполитичны и не причисляют себя ни к одной партии .	[3]	100.00%	
Создание такой среды , какая сложилась в начале XX века в Геттингене в Германии не искусственным образом , а самозарождением , обладающим неким полюсом притяжения , явилось одним из существенных факторов ускорения этого процесса .	[6]	100.00%	
Если государство будет отнимать и делить , то неизбежно придется возродить Госплан и Госснаб ?	[3]	100.00%	
Помню , однажды он поехал в Москву за двухъярусной кроватью для меня и сестры .	[2]	100.00%	
Оборонительные реакции возникают в ответ на внешние стимулы и могут быть активными , вплоть до нападения , или пассивными .	[5]	99.99%	
Она росла в Таджикистане , откуда Казахстан казался золотым краем , и дядя только после многих лет мытарств во время гражданской войны сумел вывезти семью в Германию к деду .	[6]	100.00%	
Да и сам Дмитрий Анатольевич тихо сновал по кремлевским коридорам и ни о какой борьбе с коррупцией не помышлял .	[3]	100.00%	
Не только сотрудничать с образовательными учреждениями и ставить перед ними задачи по подготовке специалистов , но и взять на себя определенную долю участия в работе со студентами факультетов журналистики .	[7]	100.00%	
Здесь не мелочатся и не предупреждают ни о чем : орднунг - это религия .	[4]	100.00%	
К сожалению , не исключена возможность возникновения фирм - однодневок , которые , собрав с родителей деньги и пуповинную кровь , в один момент могут скрыться в неизвестном направлении .	[6]	100.00%	
Тут Дума и президент спохватились и вспомнили о светскости .	[2]	100.00%	
Ребята , которые посмелей , конечно , уехали на крышах и на подножках , а я не могла так …	[3]	100.00%	
Из одной очереди вышел , тут же надо вставать в другую , потом в третью , четвёртую и т. д.	[3]	100.00%	
Предали Наджибуллу , который практически контролировал ситуацию в Афганистане , прекратив ему поставки горючего и боеприпасов , в то время как американцы через Пакистан продолжали это делать в полном объеме , несмотря на договоренности .	[6]	100.00%	
И если так , то фаталист Гордон , облаченный в британские армейские брюки и в египетскую феску , - один из главных ее героев .	[5]	100.00%	
Она уложила сено в ванночку и залила его кипятком .	[1]	100.00%	
Ценовой разрыв лишь отчасти можно объяснить разницей в качестве продуктов и услуг , главное объяснение в том , что запрашиваемая партизанами цена не включает виртуальную ( брендовую ) и гламурную ( трендовую ) составляющие .	[7]	100.00%	
Следовательно , и духовная власть упомянутого в летописи епископа Владимиро - Волынского Стефана распространялась не только на жителей Волыни , но и на всю галицкую землю вплоть до Карпат .	[5]	100.00%	
"Однако , говорит директор по маркетингу компании Альфред Шах : "" Существуют разработки в ряде университетов и лабораторий Японии и США , которые рано или поздно появятся на рынке ."	[6]	100.00%	
"Во Франции в послевоенные месяцы вошло в обиход определение "" горизонтальный коллаборационизм "" - относящееся к женщинам , вступавшим в интимные отношения с немцами ."	[7]	100.00%	
Когда летом 1912 года в губернии началась эпидемия сыпного тифа , я в составе специально созданной в связи с этим тревожным обстоятельством бригады выехал на борьбу с опасным заболеванием .	[3]	100.00%	
Устанавливая границы договоренностей , он помогает ученику в выборе своего пути , в доведении начатого дела до конца и в осмыслении итогов практической деятельности .	[6]	100.00%	
Например , Веллитон и Вагнер Лав пользуются заслуженной любовью и популярностью у поклонников футбола .	[2]	100.00%	
"По мнению ряда российских и зарубежных экстрасенсов Цилиндры Фараона создают вокруг тела человека плотный энергетический кокон , непроницаемый для "" информационных "" и "" энергетических "" вампиров , защищающий от сглаза и дурного влияния ."	[7]	100.00%	
В начале моего второго курса в МИЭФ в очередной раз приехала делегация из ЛШЭ , чтобы рассказать студентам о разных аспектах поступления в магистратуру .	[6]	100.00%	
Работал хорошо , с подъемом , а под утро перечел - и порвал , и плакал без слез , и лег спать в носках .	[5]	100.00%	
Это тем более опасно , что все более высокие посты в силовых ведомствах занимают люди , чье профессиональное и нравственное становление пришлось на вторую половину восьмидесятых и девяностые годы .	[7]	100.00%	
Германия отвергла эти условия , и в результате мирная конференция так и не состоялась .	[1]	100.00%	
И там , где у грузин и украинцев была эта мотивация , в России - чувство обиды и реванша .	[4]	100.00%	
Итальянец взял у Б. сэкономленное и отправился на вокзал .	[1]	100.00%	
Я не знаю , почему они в этом участвовали .	[1]	100.00%	
Не успела еще завершиться Шестая международная олимпиада по лингвистике , а международный оргкомитет уже смотрит в будущее : существует предварительная договоренность о том , что в 2009 году олимпиада пройдет в польском городе Вроцлаве .	[7]	100.00%	
Впоследствии , уже в качестве профессора , он вернулся в Германию и продолжил исследования в Технологическом институте города Карлсруэ .	[3]	100.00%	
По улицам летали пух и перья от выпотрошенных подушек и перин из квартир евреев .	[5]	100.00%	
Автомобили появятся в салонах официальных дилеров в этом месяце .	[1]	100.00%	
В начале войны Финляндия не позволяла немецким войскам нанести сухопутный удар со своей территории , и немецкие части в районе Петсамо и Салла были вынуждены воздержаться от перехода границы .	[5]	100.00%	
Есть большие опасения , что власти ряда стран , и без того склонные к ограничению и нарушению прав граждан , постараются сохранить созданную систему контроля и после завершения эпидемии .	[6]	100.00%	
В первой главе , например , шла речь о том , что антисемитизм в Средние века был характерен и для англичан , и для французов , и для испанцев .	[6]	100.00%	
Прошло какое-то время , и в Минске пополз слух , что обнаружена и арестована банда мотоциклистов , которая грабила поезда , сбрасывая вещи из окон и затем подбирая их .	[7]	100.00%	
Чтобы переломить его точку зрения , нужны не одноразовые беседы и не одноразовые фразы .	[4]	100.00%	
И написал , что если ты сделал уроки и пошел гулять , - тогда это дар , а если не сделал и пошел , - получается , что бремя .	[6]	100.00%	
Последние исследования российских и зарубежных ученых показали , что поставить ультразвуковой датчик на черепную кость и получить контрастное изображение мозга через кости черепа мешает не только затухание ультразвуковых колебаний .	[6]	100.00%	
Благодаря этой псевдоэпидемии около 8000 человек - и поляки , и евреи - смогли избежать трудовых и концентрационных лагерей .	[3]	100.00%	
Так красиво и стройно процесс становления новых научных взглядов выглядит лишь с расстояния в десятки и сотни лет , сквозь призму написанных победителями учебников .	[7]	100.00%	
Даже не учитывая предположение о контактах между Римской империей и династией Хань , монгольские завоевания XIII века облегчили маршрут между Европой и Азией ( поскольку он теперь проходил по территории практически одного государства ) .	[7]	100.00%	
Если вам все время подсовывать то икру , то новый самолет , не мудрено не только смерть , но и жизнь - не заметить .	[6]	100.00%	
Постепенно человек накапливал опыт благоприятного воздействия на организм пищи и определенных растений , появлялись люди , специализирующиеся в лечении соплеменников , - это и было началом медицины и фармакологии .	[5]	100.00%	
Концентрация и централизация капитала породили первые крупные объединения - корпорации , гигантские тресты и картели , способные монополизировать и производство , и отраслевые рынки .	[7]	100.00%	
Имея в силу биографии понятие об индустрии , плавании и море , при работе по 14 часов в сутки , за два года можно все изучить во всех деталях .	[6]	100.00%	
Военные конструкторы и ученые многих армий мира уделяют огромное внимание и затрачивают огромные средства для создания все более сложных и дорогих систем высокоточного оружия для полного уничтожения цели и исключения потерь среди мирного населения .	[6]	100.00%	
Стоя у него за спиной , я увидел Шуру , которая нетвердой походкой , с расширенными глазами подошла к двери и остановилась в нерешительности .	[5]	100.00%	
Потребуются и опыт , и новые механизмы международного регулирования .	[1]	100.00%	
Патриарх Кирилл прямо призвал клириков и даже мирян использовать новые и современные возможности , чтобы противопоставлять христианские идеалы тому безумию , которое в самом деле часто прет из СМИ .	[5]	100.00%	
По главной дороге возницы продвигаться не решились , а свернули в сторону и стали пробираться лесными проселками , тревожно прислушиваясь и озираясь по сторонам .	[5]	100.00%	
Ему пришлось нагнуться и унизиться , чтобы достать в углу дешевую бутылку : он даже чуть не обнюхал ее .	[3]	100.00%	
Кубань - наше народное достояние , и мы не должны допустить ситуацию , которая возникла с нефтью и другими сырьевыми ресурсами , когда мы недополучили значительные средства в бюджет .	[3]	100.00%	
Потребовалось еще не одно десятилетие , прежде чем взгляд на биосферу как на единую , целостную систему стал утверждаться в представлениях и умах ученых .	[4]	100.00%	
"Призыв к ней прозвучал на Поклонной уверенно и громко , и власть его поддержала "" , - заключает газета ."	[4]	100.00%	
С одной стороны , это временный спекулятивный эффект , связанный с терактами в США и военными действиями на Востоке .	[3]	100.00%	
