INPUT:text	OUTPUT:category	CONFIDENCE:category	
При этом через дымовые трубы в атмосферу вместе с газами выбрасываются и негорючие минеральные части его , в том числе и пятиокись ванадия - одно из наиболее токсичных соединений .	[6]	100.00%	
В сухопутных сражениях японская армия действовала более успешно , и им удалось захватить весь Южный Китай и соединиться со своими войсками , которые действовали в то время в Индокитае .	[4]	100.00%	
"Я сел в машину и поехал на еще один прокремлевский молодежный форум "" Территория смыслов "" в районе Владимира ."	[2]	100.00%	
"Тем самым представители власти , в силу своего "" вечного иммунитета "" , пользуются безнаказанностью в высказываниях , а в ряде случаев - и в действиях , что встречает непонимание в современных демократических обществах ."	[6]	100.00%	
Как сообщили в среду в ГУВД Волгоградской области , огонь вспыхнул во вторник в одной из квартир жилого дома .	[3]	100.00%	
И вот рассказываю я и на самом интересном месте понимаю , что детективная линия подходит к концу - там кто-то кого-то убил , - а чем все должно кончиться , я даже не представляю .	[6]	100.00%	
Чувство приобщения к тайне и к правде испытывали все - и те , кого запирали в парткоме для одинокого прочтения текста , и труженики отдельных предприятий , которым партия доверяла коллективное прослушивание полукрамольного доклада .	[7]	100.00%	
"Он , по-видимому ( и в первую очередь ) , затронет Японию , где многие одинокие пожилые люди уже "" снабжены "" домашними "" сидячими "" роботами для наблюдения за ними и вызова помощи ."	[6]	100.00%	
Однако если врач не сообщит о потенциальном доноре трансплантологам и , возможно , лишит пациента с хронической почечной недостаточностью шанса на жизнь , ему за это ничего не будет .	[6]	100.00%	
Совсем недавно мы с женой были у него в гостях и с удовольствием пообщались .	[2]	100.00%	
Судите сами : 1 кг веса и 5 часов работы без подзарядки при наличии вполне полноценной клавиатуры и цветного дисплея диагональю в 10,2 дюйма .	[4]	100.00%	
Эмма Ашотовна , уязвленная трагической любовью и болезнью своей дочери и понимающая кое-что в безумии и жестокости любви , совсем не интересовалась отношениями девочек и природой их взаимной привязанности .	[7]	100.00%	
"За это время я сумел смотаться на соседний строительный рынок и выяснить , что все , что мне нужно , там имеется и закуплено в "" Леруа Мерлен "" ."	[5]	100.00%	
Валяясь на диване с твердыми допотопными валиками , с просевшими пружинами , покуривая , поглядывал Денисов на карту полушарий и не одобрял расположения континентов .	[5]	100.00%	
"И с этого момента и администрация , и жители 15-тысячного Байкальска всерьез поверили , что альтернатива возможна , а Федерация выделила деньги на эксперимент по оздоровлению "" моногорода "" ."	[5]	100.00%	
Пальцы рук и ног пострадавших зачастую отваливались и оставались в старых бинтах при перевязке .	[3]	100.00%	
Красный , как и на автомобиле , запрещает движение .	[3]	100.00%	
Обычно все телефонные номера , фигурирующие в американских картинах , начинаются с несуществующего префикса 555 , но в этот раз сценаристы для пущей убедительности ввели в фильм настоящий номер .	[5]	100.00%	
Лю Шаоци избивали , и он умер в заключении .	[2]	100.00%	
Пациенты не знают , и сотрудники мои не знают , кто все эти люди .	[3]	100.00%	
Он углублялся в чтение дневников подследственных и даже высказывал личное мнение по их содержанию .	[3]	100.00%	
Так , может , это Следственный комитет в его лице демонстрирует тоталитарность и нетерпимость ?	[3]	100.00%	
"Потому что молодой человек , закончив курсы и набравшись опыта , через год уйдет на повышение в конкурирующую фирму , а благодарный "" старик "" мог бы еще лет пятнадцать работать на благо предприятия ."	[4]	99.99%	
Инициатива Мушаррафа по искоренению религиозного экстремизма встретила широкий положительный отклик в мире , в том числе и в соседней Индии , которой , собственно и была по сути адресована .	[6]	100.00%	
В результате люди стали охотнее брать деньги в долг и покупать на них дома .	[2]	100.00%	
Вопрос жены не исключал эту возможность : с кем - это не эти именно фрукты , а может , и другие , но в одно и то же время …	[6]	100.00%	
"В заключении Рогозин констатировал , что "" участие в разрешении палестино - израильского конфликта как коспонсоров мирного процесса - России и США , так и Евросоюза будет определяться политическими фигурами , а не дипломатическими ."	[7]	100.00%	
Хотя в ядерной сфере мы этого лишились не полностью .	[2]	100.00%	
Диван в моей будущей каюте не такой мягкий , как у командира и бортинженера .	[2]	100.00%	
"Еще в школе , когда мы только начали изучать химию , я принес из библиотеки толстенный том "" Техники лабораторных работ "" профессора Воскресенского и стал его аккуратно переписывать и перерисовывать в общую тетрадку ."	[4]	100.00%	
Китай тому пример , да и не только он .	[2]	100.00%	
Следует запомнить и четко представить себе , что и в какой момент ( по секундам ) надо отыскать глазами .	[4]	100.00%	
Сам же Дворцевой после случившегося в бессилии рухнул на табурет на кухне и уснул .	[3]	100.00%	
Возможность поступления в один из известных вузов - от старейшего университета Сорбонна в Париже до современного университетского центра Ницца - София Антиполис , использующего последние достижения науки и техники .	[5]	100.00%	
"Между тем , как сообщили в энергосбыте "" Камчатскэнерго "" , вопрос прекращения подачи тепла в жилые массивы рассматриваться не будет в любой ситуации ."	[3]	100.00%	
"Реальное количество погибших детей в 8 раз больше - эта категория преступлений обладает высокой латентностью , и в правоприменительной практике убийство новорожденного нередко квалифицируется по статье 105 УК РФ ( "" Убийство "" ) ."	[7]	100.00%	
Немыслимо , с точки зрения привычной практичности , нарядить двухлетнюю девочку в розовое платье с рюшками , на всякий случай надеть на нее памперсы и пустить играть в песочницу .	[7]	100.00%	
Мы также не обнаруживаем в себе и ценностей абсолютного масштаба , которые , будучи спроецированными на демократические политические институты , явились бы их оправданием .	[6]	100.00%	
Ведь власти не смогут , как в советское время , загнать людей в колхозы .	[2]	100.00%	
Раз в год в феврале владельцы таких моделей собираются на съезд в Мюнхен , где в гигантском ангаре с хорошей вентиляцией выстраивается самая большая в Европе 5-дюймовая железная дорога .	[6]	100.00%	
"В результате по прошествии какого-то времени вся материя и , что самое обидное для нас , биомасса превратятся в скопище нанороботов , в "" серую слизь "" , как образно назвал ее Эрик Дрекслер ."	[6]	100.00%	
Теперь с Любовью Соболь готовы сразиться в этом округе футболист Булыкин и актер Соколов .	[3]	100.00%	
Кроме мраморных Юпитеров и Диан человекоподобных почти не попадалось .	[3]	100.00%	
"Тревога большая , и не только у авторов писем в "" Правду "" , у специалистов , но и у руководства партии и страны ."	[5]	100.00%	
Оставшихся больных и раненых в приказном порядке перенесли в стоящую рядом нефункционирующую железнодорожную школу , которая не отапливалась совершенно .	[4]	100.00%	
Для внешнего пользования выпускает политические декларации и заявления о вине сталинского руководства в расправе над польскими гражданами в 1940-м .	[3]	100.00%	
Дело здесь не в оборудовании , а в другом .	[1]	100.00%	
Их не надо отчуждать и изолировать , наоборот , с ними надо разговаривать и договариваться , с благодарностью относясь ко всему , что они готовы сделать для свободной России .	[5]	100.00%	
Да и плохое знание гастарбайтерами русского языка и культуры отнюдь не является главной причиной роста межнациональной напряженности в России .	[5]	100.00%	
После переезда из родного Омска в Москву поселилась на подмосковной базе в трехместном номере .	[3]	100.00%	
У его сына , Генри Хейвена Уиндзора - младшего ( Henry Haven Windsor Jr . ) , не было собственного опыта в журналистике или книгоиздательстве , но он вырос и повзрослел вместе с журналом .	[6]	100.00%	
Потом грузно плюхнулся на свое место , и тут же его белая пухлая рука потянулась к вину и ветчине .	[4]	100.00%	
Причем людей интересуют не только имена кандидатов , но и мнения о них и их программах граждан , экспертов .	[4]	100.00%	
Страшные сказки в этом смысле куда безопаснее : не сбудутся - и слава богу …	[7]	100.00%	
И вовсе не в одежде оказывается дело , и не в макияже от Диора .	[2]	100.00%	
Например , они отстают от других стран Европы как по реальному участию их жителей в общественных организациях и гражданских движениях , так и по ценности для них таких объединений .	[5]	100.00%	
Этот тезис не нов и уже оспорен профессиональными экономистами .	[2]	100.00%	
В перспективе - слияние гламурного и пиратского бизнесов в единую потоковую структуру , в которую они будут входить как звенья единой цепи создания стоимости .	[6]	100.00%	
Как выпадет ей варить , они по щепотке соли в варево бросят , и потом все ворчат на молодуху .	[4]	100.00%	
Он ведь еще и настоятельно рекомендовал Саакашвили не слишком увлекаться в полемике с Москвой .	[6]	100.00%	
Однако главным учителем в жизни ( она оборвалась в 1942 году : доброволец Зевин погиб под Вязьмой ) художник называл Роберта Фалька , в 1921 году преподававшего в Витебске .	[5]	100.00%	
На этот раз она была в сильном возбуждении и мяла в кулаке кружевной платочек .	[2]	100.00%	
Завтра целый день в юридической консультации писать кассации , заявления , думать о людских несчастьях , в том числе и семейных , а потом _ домой - к кому ?	[5]	100.00%	
"В то время когда мучительно искались инвесторы , в том числе и на "" Сахалин - 2 "" , еще , конечно , никто не догадывался , какое чудо случится с ценами на нефть ."	[7]	100.00%	
Она вполне может не мешать изучению каких-то иных явлений ( никто из биологов , кажется , и не занимается проблемами генетики Иисуса Христа ) , но мировоззрение этих коллег мы считаем не вполне научным .	[7]	100.00%	
Многие европейцы , которые официально побывали в Китае в этот период , например , де Рубрук , вообще не удостоились упоминания в китайских летописях .	[5]	99.99%	
Сотрудница туалета закатила глаза и заговорила тихо и быстро .	[1]	100.00%	
Он подошел к мальчику и увел его с кладбища .	[1]	100.00%	
Эти три ступени вниз , в полуподвальную квартиру , казались Гаянэ входом в преисподнюю , и она , почти не касаясь пола , взлетала единым духом на второй этаж …	[7]	100.00%	
Основные методы основаны на логике и сборе легальной информации .	[2]	100.00%	
Скоро он понял , что выигрывает , и наконец начальник смешал фигуры на доске и ушел опять в джунгли .	[4]	100.00%	
Человек с горбом на лбу повернулся , спрятал нож и пошел в обратную сторону .	[3]	100.00%	
В Голландии не стесняются пропагандировать средства предохранения , и главное , никогда не оставляют забеременевшую женщину в беспомощном положении .	[6]	100.00%	
Например , рибозу находили и в метеоритах , но по соотношению изотопов и оптическим изомерам она была признана абиогенной .	[5]	100.00%	
Да , мне все это понравилось , хорошо бы и на будущее сохранить эту пустоту , простоту и яркость .	[3]	100.00%	
Ведь главная проблема подростковой неуспеваемости не в недостатке способностей , а в слабой мотивации .	[3]	100.00%	
Бесконечные стычки и распри , дележ и взаимные наговоры .	[3]	100.00%	
В хоккей , который вместе с космосом и балетом был витриной и визитной карточкой .	[3]	100.00%	
Шансов засечь столкновение миниатюрной черной дыры с нашей планетой очень и очень немного , хотя и нельзя сказать , что их не было совсем .	[6]	100.00%	
В защиту Марко Поло можно сказать , что описание им велось по памяти , он был знаком с персидским и использовал персидские названия , которые часто также были непоследовательны в своей передаче китайских названий .	[7]	100.00%	
Невозможность занять деньги для обслуживания долга и сокращение бюджета в результате уже практически 30-процентного сокращения цен на нефть - это тяжелейший удар и по бюджету , и по бизнесу .	[6]	100.00%	
Вот , оказывается , это можно изучать , и это действительно было недавно использовано , буквально в прошлом году , для обнаружения того , что некоторые изотопы элементов 120 и 124 обладают повышенной стабильностью .	[6]	100.00%	
Был морозный солнечный день , и ему все нравилось : обилие лыжников и скрип свежего снега , который еще не успели убрать в Москве .	[3]	100.00%	
Он свистит над головами и детей , и взрослых .	[2]	100.00%	
В Америке избранный президент проводит массовые назначения 12 с лишним тысяч человек , они все работают на ту идею , которая декларирована в той или иной партийной программе , и идея пронизывает всю конструкцию .	[7]	100.00%	
Когда Медведев начал играть роль преемника , он начал озвучивать в качестве своих планов ровно то , что ему знакомо и как юристу , и как бывшему главе комиссии , разрабатывавшей программу административной реформы .	[7]	100.00%	
Самый массовый - административный ресурс и фальсификации на выборах .	[4]	100.00%	
"Письмо было напечатано в израильском журнале "" 22 "" , и суть его заключалась в том , что Синявский тоже был тайным осведомителем органов ."	[3]	100.00%	
Наблюдателем способна быть и амеба - она тоже вполне в состоянии вызвать квантовый коллапс .	[7]	100.00%	
Да и налоги в международных водах платить не надо .	[1]	100.00%	
Выбрали второе , чему немало способствовала заинтересованность европейского бизнеса в деловых отношениях с Россией и тот факт , что половина потребности Старого Света в газе и четверть в нефти удовлетворяется за счет наших поставок .	[7]	100.00%	
Уже четыре дня я не ел хлеба и живу только на супе на обед .	[3]	100.00%	
Когда в самом начале нового века в США компьютеризация достигла уровня проникновения в повседневную жизнь большинства населения , остальной мир только втягивался в процесс .	[4]	100.00%	
Если помните , когда Старик Хоттабыч объелся мороженого и пионеры Женя и Алеша его пожалели , он сразу воспрянул духом и почувствовал себя здоровым .	[6]	100.00%	
Важно приходить в эту мерзость запустения и преображать ее .	[3]	100.00%	
В молодости он участвовал в Крымской войне , в которой выказал себя отличным специалистом и солдатом - за что был награжден и получил повышение .	[6]	100.00%	
"Первые десять минут Валентин Хагдаев бил в бубен и рассказывал популярные поверья и истории об острове , а следующие двадцать - _ декламировал свои стихи , вышедшие в сборнике "" Молодые поэты Бурятии "" ."	[5]	99.99%	
Размышление и самообучение в круг ее задач не входили .	[2]	100.00%	
Вот и странные голодные собаки , которые всегда плелись за его гробом , вот и одинокий неизвестный человек рядом , вот и крепкий гроб , в котором он лежит .	[6]	100.00%	
Норвегия приняла решение о сокращении своих квот на нефтяной экспорт на 150 тыс баррелей в день при условии , что остальные страны выполнят свои обещания , и ситуация на мировых сырьевых рынках не изменится .	[5]	100.00%	
Сегодня мальчиков и девочек готовят к одинаковой деятельности - ведь гендерное разделение труда не такое жесткое , как раньше , а в образовании женщины опережают мужчин , и это медленно подготавливает иной стереотип мышления .	[7]	100.00%	
"Из Грузии в Россию уехало много интеллигенции , они очень гармонично вписались в российскую жизнь и здесь останутся "" ."	[3]	100.00%	
"Для наблюдения за общественным порядком и проведения профилактической работы в городских районах рекомендуется "" мобилизовать добровольцев и пенсионеров "" ."	[5]	100.00%	
"Если эта ситуация не будет в корне изменена , разрыв между так называемым "" мэйнстримом "" мировой науки , т. е. ведущими направлениями гуманитарных исследований в мире , и российской наукой будет неуклонно расти ."	[6]	100.00%	
Мы уверены , в новой школе каждый учитель в отдельности и коллектив учителей в целом сможет напрямую общаться с теми учениками , которым интересен он и которые интересуют его .	[5]	100.00%	
Жизнь постепенно будет налаживаться и Россия по уровню жизни населения выйдет в число передовых .	[3]	100.00%	
По его мнению , ситуация в регионе в последнее время значительно улучшилась , что Ваджпаи связывает с некоторыми позитивными сдвигами в кашмирской политике Пакистана .	[5]	100.00%	
"Спасали от холода и крепкий бараний запах , и самое слово "" тулуп "" ."	[3]	100.00%	
Как сообщили в пресс-службе флота , министр прибыл на Кольский полуостров в воскресенье вечером .	[2]	100.00%	
Ведь мертвые и похищенные не в состоянии себя защитить .	[2]	100.00%	
"Кто не знает , что такое "" пикировать "" , пусть и не знает ."	[2]	100.00%	
Долго ему не отворяли и не слышали , притворяясь глухими , наконец , открыли и недоверчиво на него посмотрели .	[5]	100.00%	
Секретарь вытаращил глаза на арестанта и не дописал слова .	[1]	100.00%	
Поэтому в пикосекундный масштаб попадают атомы и молекулы и некоторые достаточно медленные электронные движения .	[7]	100.00%	
С ним я походил и поездил по изувеченной земле .	[2]	100.00%	
Однако в начале XIX века падения метеоритов стали хорошо документироваться , и все сомнения в их внеземном происхождении отпали .	[5]	100.00%	
Не только в познании ближнего и дальнего космоса , но и в изучении поверхности Земли и ее недр , развитии техники и прогрессивных технологий .	[6]	100.00%	
"Преодоление монополии большинству блоггеров виделось в "" честных выборах "" , что и вывело их в декабре на улицы ."	[3]	100.00%	
Так в частности , устроена культурная жизнь в США .	[1]	100.00%	
Как сообщалось , в Санкт-Петербурге в результате пожара в Петропавловской крепости в воскресенье поздно вечером сгорел купол башни Нарышкина бастиона и пострадала стела флагштока .	[4]	100.00%	
Недостатки использования ребризеров - дороговизна и сложность в эксплуатации .	[1]	100.00%	
В этом случае определяется время завершения игры в игровой день , и по достижении этого времени игрок , чья очередь ходить , должен отложить партию , которая затем доигрывается в определенный турнирными правилами день .	[7]	100.00%	
Почему я в таких подробностях остановился на этом эпизоде ?	[2]	100.00%	
Путин действует в целом корректно , не заслоняя нового президента на международной арене и не пересекая демаркационную линию дома .	[4]	100.00%	
Они встроены в язык , и мы даже примерно представляем , где душа находится .	[6]	100.00%	
Так зачем нам рисковать и менять шило на мыло ?	[1]	100.00%	
В университете Южной Юты существовала традиция - перед началом занятий преподаватели каждого колледжа выезжали на день за город , на университетскую базу , чтобы обсудить планы на следующий год и познакомиться с новыми преподавателями .	[6]	100.00%	
Надо просто смотреть на них и дышать их ароматом .	[1]	100.00%	
Несмотря на весь скепсис , опрошенные экс-депутаты не разочаровались в политике и готовы в будущем вновь ринуться в бой .	[3]	100.00%	
На уровне жизни граждан это практически не скажется , даже если на указанные 2 проц . ( статистически неуловимые ) и снизятся цены на облагаемые НДС товары и услуги .	[7]	100.00%	
Поэтому разногласия по европейской ПРО и вообще по ПРО лежат только в политической сфере .	[5]	100.00%	
И сразу совестно , и в сердце нехорошая тошнота , и батон этот пухлый тяготит , и девять бубликов этих как звенья распавшейся цепи , и думает он : ну вот , зря пожадничал !	[6]	100.00%	
Ничего не сочинил , не пропел , не выстрелил .	[2]	100.00%	
Довольно скептически на проблему снижения налога смотрят и практики .	[2]	100.00%	
Лежа на парте , я внимательно слушал голос учителя , не отвлекаясь на обычные шалости , и старался запомнить все , что он говорит .	[4]	100.00%	
Дальше фантазия не шла , и наши руки устали .	[2]	100.00%	
Темпы роста заработной платы в сельском хозяйстве выше , чем в экономике в целом .	[2]	100.00%	
Об этом сообщили в понедельник в пресс-службе МЧС России .	[1]	100.00%	
"Если в сентябре прошлого года 44 % населения страны оценивали отношения с США в диапазоне от "" прохладных "" до "" враждебных "" , то после войны в Южной Осетии таких стало 75 % ."	[5]	100.00%	
Для чего существенно изменяются и тематика , и объемы часов по этим видам обучения .	[4]	100.00%	
Ведомство обвинили в непредоставлении информации о ведении образовательной деятельности без лицензии , подделке дипломов гособразца , нецелевом расходовании бюджетных средств и лжевузах , выпускники которых устраиваются на работу с фальшивыми дипломами , и другом .	[7]	100.00%	
Замминистра финансов Дмитрий Панкин сказал , что в связи с ростом экспортных доходов Россия в этом году может отказаться от ранее планировавшихся дополнительных заимствований в размере $ 13,5 млрд .	[6]	100.00%	
"Украина в особенности превратилась в "" блошиный рынок рейха "" , где весь этот хлам сбывался в обмен на качественное продовольствие и другие товары ."	[5]	100.00%	
Прежде исследователи считали , что этот запрет был пожалован новгородцам Ярославом Мудрым в благодарность за их помощь в овладении киевским столом в 1015 году .	[6]	100.00%	
Поэтому уже не удивительно , когда данные таможни не совпадают с реальными объемами перевозки в 5 и более раз .	[3]	100.00%	
Может , оттого , что я говорю в этой книге о вещах достаточно серьезных , мне и захотелось оттенить их спрятанной в названии улыбкой .	[6]	99.99%	
Этим баннером они и выразили свое отношение и озабоченность .	[1]	100.00%	
Если ребенок не перешел от жестовой речи к дактилической , в школе его учить не начинали , и не важно , сколько ему лет .	[6]	99.99%	
Этим изобретением заинтересовались на заводе Генри Форда , и начиная с 1956 года ремни братьев Лигон стали устанавливаться в качестве опции на автомобили Ford .	[4]	100.00%	
"Администрация города обратилась в прокуратуру с просьбой принять меры в отношении "" Дальэнерго "" ."	[2]	100.00%	
Нам кажется , что нужно , и , _ прежде всего , для того , чтобы накопить опыт , апробировать модели практического содружества и взаимодействия образовательной и практической журналистики .	[7]	100.00%	
Правда , списков задержанных он не видел и в допросах участия не принимал , но , судя по всему , это была именно она .	[4]	100.00%	
Немецкое и итальянское командование использует в Атлантике в основном подводные лодки , которые действуют на коммуникациях , связывающих Великобританию с Северной Америкой , африканскими колониями , Южно-Африканским Союзом , Австралией , Индией и СССР .	[7]	100.00%	
Например , известный финансист Андрей Мовчан считает : государство не может превратиться в одну компанию и извлекать добавленную стоимость из углеводородов вечно и долго .	[5]	100.00%	
"Они прячут глаза , подолгу спят и не едят яиц , потому что в своем мире вылуплялись из них "" ( "" Дом , в котором … "" ) ."	[5]	100.00%	
Да и обнаружилось это в тех авариях не сразу .	[1]	100.00%	
Растет и приобретает профессиональный опыт штат молодых тренеров и специалистов , расширяется круг региональных секций и школ синхронного плавания .	[3]	100.00%	
Каждую минуту я гашу фонарь и опять его зажигаю .	[1]	100.00%	
Томас Харлан в пятидесятых поставил в Германии спектакль о преступлениях нацизма , и те , кого он назвал по имени , будучи при должностях , возбудили против него дело .	[5]	100.00%	
Мы выставили на стол все свои запасы и напитки .	[1]	100.00%	
Мать ест и поправляется , и начинается новая жизнь .	[2]	100.00%	
Еще до войны Бауэр ( родился в небедной еврейской семье в Штутгарте ) был судьей по делам несовершеннолетних , самым молодым в истории Германии , и дружил с социал-демократами .	[6]	100.00%	
Даже в индустриальной Москве иногда из какого-нибудь парка подует ветер и принесет с собой лесной запах ; в Ереване , сколько ни води носом , ветер ничего не принесет .	[7]	100.00%	
Эти нагрузки изгибают клинок сначала в одну , а потом в другую сторону , в итоге придавая ему знаменитую изогнутую форму - за счет различной закалки лезвия и обуха .	[5]	100.00%	
Дважды герою полагался памятник на родине , трижды герою _ еще и в Москве .	[3]	100.00%	
Семи - восьмилетним я уже знал и любил отца , хотя и третьей любовью .	[3]	100.00%	
Он приехал на паре своих вяток , очень красивых , и они все время стояли у крыльца , он остался , потому что был дождь , и ему хотелось , чтобы к вечеру просохло .	[6]	100.00%	
Пытался он внести и новые предложения в производство обуви .	[2]	100.00%	
Согласно указаниям начальника игр молодой человек , он же Робинзон , честно перенес все свои видения через проектор мыслей в компьютерную сеть по производству игр и возвратился в комнату .	[6]	100.00%	
Таким образом , без создания коалиции интересов потребителей и производителей , без сильного антимонопольного законодательства и регулирования , не предусмотрев своего рода компенсационных сделок для проигравших , некоторые из кардинальных реформ продвинуть практически невозможно .	[7]	100.00%	
"Он медленно положил сигару в пепельницу , стоявшую на рояле , тронул клавиши и запел вполголоса романс "" Утро туманное , утро седое "" фантастическим по красоте голосом , слегка подыгрывая себе на рояле ."	[6]	100.00%	
Аргументы правозащитников о том , что и за год человека можно убить или , по крайней мере , выбить из него все человеческое , в этом случае , скорее всего , останутся без внимания .	[7]	100.00%	
Не одеваясь Серго выскочил на улицу , пробежался по круглому каменному двору и остановился в подворотне : он не знал , куда теперь идти .	[5]	100.00%	
К этому нужно готовиться , чтобы не показать слабость , но и не сорваться в жесткое противодействие , риторику .	[5]	100.00%	
"Почти никто не знает , что он там доказал , и зачем это нужно было доказывать , и даже что такое "" доказательство "" ."	[7]	100.00%	
Прибор их регистрирует и выводит изображение на экран компьютера .	[2]	100.00%	
Через 3,5 часа мы прибыли на автостанцию в Тарусу .	[1]	100.00%	
"Плохой , хотя и не самый ужасный конец : Россия прошла период "" жирных "" лет , основные сливки сняты , поэтому придется встать на твердую почву и несколько поменять образ жизни и политику ."	[5]	100.00%	
Выяснилось , что общинное миросозерцание и мировосприятие не вечны .	[4]	100.00%	
Такие деликатные инструменты в условиях всеобщего хаоса откровенно блокируются , что мы и наблюдаем .	[4]	100.00%	
Современные европейские , в том числе и финские , шаманы свои традиции растеряли и перенимают их теперь у тувинцев , которых считают основателями шаманизма .	[6]	100.00%	
Поэтому в фирме работает так много матерей - одиночек , и в штате числится немало дам в интересном положении .	[3]	100.00%	
Отец в первый же понедельник ушел добровольцем в ополчение .	[2]	100.00%	
Мы должны обеспечить государство финансами , чтобы оно могло финансировать и медицину , и социальную программу , и пенсии .	[4]	100.00%	
Там действительно есть разделение труда , подчас достаточно сложное , но оно подвижное , выполняемая роль и работа обычно зависит от возраста индивида , но может меняться и произвольно , в зависимости от ситуации .	[7]	100.00%	
Я не участвовал в покупке и раза два - три приезжал туда на море .	[2]	100.00%	
Естественные науки описывают окружающий мир и наблюдаемые в нем явления , стремясь объяснить уже случившиеся события и предсказать будущие .	[4]	100.00%	
Для центристов все сводилось к перегруппировке сил в правительстве , рейхстаге и отдельных землях .	[3]	100.00%	
"Может прийти участковый и утащить нас в суд "" ."	[1]	100.00%	
В столетнюю годовщину этого символического рубежа развития мы живем , трудимся и потребляем в условиях совсем другой экономики , достижения и проблемы которой бессмысленно измерять ростом производства чугуна , стали , тракторов и зерна .	[6]	100.00%	
Создание и освоение оружия на новых физических принципах и с новыми свойствами , в том числе тактического ядерного оружия .	[4]	100.00%	
В трудных случаях он видит себя сидящим в старомодном кабинете в компании Альберта Эйнштейна .	[3]	100.00%	
При помощи двух радиотелескопов , способных работать в миллиметровом диапазоне , ALMA и телескопа Джеймса Максвелла , ученые обнаружили в венерианской атмосфере линии поглощения на длине волны 1,123 миллиметра .	[6]	99.99%	
Национальная безопасность и революция в организации ТВ - вещания .	[3]	100.00%	
В данном случае намерения оппозиции и Запада в определенной степени совпадают с намерениями Путина .	[3]	100.00%	
"Ты можешь спать с кем угодно , делать что угодно - и это не вызовет конфликта , особенно если в любой момент можно сказать : "" Я жертва "" ."	[4]	100.00%	
Вопреки очевидности , я где-то на дне души не верил в прочность победы Тенненбаума .	[5]	100.00%	
Поплыла вместо этого всего какая-то багровая гуща , в ней закачались водоросли и двинулись куда-то , а вместе с ними двинулся и сам Пилат .	[6]	100.00%	
"Сегодня , по прошествии пяти лет , на научных семинарах в академических институтах можно услышать и выводы более жесткие : "" Юридическое упразднение РАН в 2013 году фактически уничтожило социальный институт науки в России ."	[7]	100.00%	
"Однако этот , бесспорно положительный , метод исследования не может целиком закрыть проблему : если не сопоставлять результаты моделирования с экспериментом , то можно уйти в виртуальную область , в своеобразное "" зазеркалье "" ."	[7]	100.00%	
"Как образец гармоничного сосуществования человека и природы академик привел пример развития древнекитайской цивилизации : "" Она создавалась тысячелетиями , и основой ее были земля , вода , воздух и физическая сила животных и человека ."	[7]	100.00%	
Остальное - в основном всякая сборочная и ремонтная мелочь .	[3]	100.00%	
В одной из своих работ известный российский экономист Е. Гайдар выявил любопытную закономерность : примерно в течение полутора веков между Россией и странами - лидерами Европы упорно сохраняется дистанция в 40 - 60 лет .	[7]	100.00%	
